epoch;accuracy;f1;loss;precision;recall
0;0.6011691;0.53588116;0.7831300171636865;0.7013889;0.43559653
1;0.6167786;0.56002825;0.750249874827497;0.7062411;0.46475434
2;0.62176;0.568242;0.7422324311045081;0.7099156;0.47435272
3;0.6244663;0.57325506;0.737384516671395;0.71226525;0.48026633
4;0.6268075;0.5765285;0.7339378539112997;0.7138507;0.48412526
5;0.62796015;0.57922727;0.7314328629425297;0.7145451;0.48761296
6;0.62928545;0.5822743;0.7286238746578166;0.7147548;0.49180937
7;0.63162225;0.5850429;0.7260640665380318;0.71547043;0.49541765
8;0.63476443;0.5891367;0.7219255203500865;0.715915;0.5010689
9;0.63693106;0.592075;0.7181784279668346;0.7164499;0.50510883
10;0.638191;0.59472996;0.7153756163605002;0.7174747;0.5084411
11;0.6390452;0.5951905;0.7135873472290983;0.71853685;0.50859
12;0.6400692;0.5966785;0.7120633879618129;0.71877235;0.51063484
13;0.640528;0.5967347;0.7109938506492153;0.71982324;0.51018924
14;0.64074093;0.5968706;0.710158124373675;0.71999025;0.510314
15;0.6415977;0.5981707;0.7092794273804057;0.7202941;0.5120257
16;0.6419663;0.59849286;0.7083141052628801;0.7205925;0.51238745
17;0.6422607;0.59907496;0.7074962108565437;0.720976;0.5130074
18;0.6429535;0.5998952;0.7066791610895296;0.7210279;0.5141998
19;0.6430765;0.6001358;0.7059225315068212;0.721557;0.5142886
20;0.643892;0.60092235;0.705188254665847;0.72171414;0.515352
21;0.64385957;0.6010275;0.7043597309977496;0.72257537;0.5150407
22;0.64419764;0.6012157;0.7036401992406462;0.72287357;0.51518315
23;0.6445738;0.60173005;0.703314423141057;0.7230581;0.5158514
24;0.64494306;0.6020418;0.7025848874346896;0.723477;0.5161095
25;0.6449544;0.6022383;0.7021196626651723;0.72372526;0.51622933
26;0.64561296;0.6028353;0.701575183311254;0.7240193;0.5169667
27;0.645857;0.6032766;0.7011245450664598;0.72406733;0.5175715
28;0.64616805;0.6036671;0.7005162948530053;0.7240095;0.51817566
29;0.6461721;0.60324645;0.7001645593944373;0.72449005;0.5173375
30;0.6465517;0.6034805;0.6994834496289677;0.7250664;0.5173877
31;0.64660364;0.60373056;0.6992318923039276;0.7250594;0.51775426
32;0.6468137;0.6041123;0.6989826812417763;0.7248548;0.51846963
33;0.6470188;0.6040587;0.6985827841605142;0.7255345;0.5180091
34;0.6471666;0.60398537;0.6983899260725749;0.72615814;0.51757693
35;0.6472056;0.6045256;0.6979559121416524;0.7257196;0.5185962
36;0.6476651;0.6048003;0.6976860480568049;0.7259321;0.5188487
37;0.64799184;0.605295;0.6973181408230419;0.7261936;0.51949304
38;0.64781696;0.6054697;0.69718357595995;0.7259161;0.51989406
39;0.6481047;0.6055468;0.6968078165156387;0.72602385;0.5199259
40;0.64826137;0.60547316;0.6965449198384371;0.7261758;0.5197584
41;0.64835036;0.605619;0.6960398729645064;0.7269805;0.51954424
42;0.64862245;0.6060126;0.6959105333956063;0.7268553;0.52017057
43;0.6486385;0.60585153;0.6958293516880556;0.72674245;0.52000284
44;0.64871675;0.6059371;0.6954736623282266;0.72718316;0.5199149
45;0.64890736;0.60625046;0.6950940980470827;0.72740126;0.5202802
46;0.649198;0.6065784;0.6947783927184957;0.7273257;0.520815
47;0.6492367;0.606343;0.6946836282785246;0.7276591;0.52026886
48;0.64916843;0.6065283;0.6943992001560764;0.72765833;0.520579
49;0.649509;0.606571;0.6941108818995559;0.72825056;0.52030605
