epoch;f1;loss
0;0.998462;7.454088147699871
1;0.99983287;0.3639192382235281
2;0.9998329;0.12043351220791255
3;0.99983287;0.04360472877669348
4;0.9998379;0.022226139170795352
5;0.9998276;0.014481533762988151
6;0.99983287;0.010479284699743609
7;0.99983263;0.008457400660257106
8;0.99983287;0.007175767749053341
9;0.99983394;0.005532026443090647
0;0.9995204;3.580450622029828
1;0.9998139;0.08209973846140083
2;0.999814;0.018135703164026483
0;0.9985405;7.207096560729511
1;0.99983287;0.352409233598013
2;0.99983287;0.11824729967636619
3;0.9998327;0.043987297936324506
4;0.99983287;0.021084469196099888
5;0.99983287;0.015084209127006193
6;0.99983287;0.010293868121707815
7;0.9998329;0.007509620077624559
8;0.99983287;0.0074984094841572535
9;0.99983287;0.00585155103670369
0;0.9993478;3.6294167134199515
1;0.999814;0.08272516489527337
2;0.99981403;0.01759616816811281
3;0.99981403;0.00971816561451196
4;0.99981403;0.0058243587735867675
5;0.9998138;0.005491260418922008
6;0.9998139;0.004040084363101528
7;0.9998139;0.0037055742061491647
8;0.9998139;0.0034296512698958493
9;0.999814;0.0034843855520764557
0;0.9462648;4.321986987939587
1;0.94647497;0.2695791767689356
0;0.9986159;7.245405759990185
1;0.9998307;0.3612620651591088
2;0.99983066;0.1237256948666745
3;0.9998307;0.04862770675112923
4;0.99983066;0.020489687725191906
0;0.9982143;7.035263169148024
1;0.99983066;0.34405181221594744
0;0.99379414;3.339528026505915
1;0.99453205;0.19409822852521746
